Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
292,Malik Monk,SG,24,SAC,13,0,21.5,4,9.3,0.43,1.9,5.2,0.368,2.1,4.1,0.509,0.533,2.2,2.3,0.933,0.5,1.8,2.3,4.4,0.4,0.3,1.7,1.7,12.1
293,Moses Moody,SG,20,GSW,12,1,17.7,2.2,5.3,0.413,1.2,3.3,0.359,1,2,0.5,0.524,1.1,1.3,0.813,0.4,1.8,2.2,0.8,0.5,0.4,1.3,1.1,6.6
294,Wendell Moore Jr.,SG,21,MIN,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,1,0,0
295,Ja Morant,PG,23,MEM,13,13,33.2,10.3,21.5,0.48,2.1,5.2,0.403,8.2,16.3,0.505,0.529,6.6,8.5,0.782,1.2,4.9,6.2,6.8,1.2,0.3,3.9,1.8,29.3
296,Marcus Morris,PF,33,LAC,13,13,31.3,6,11.7,0.513,2.2,5.5,0.403,3.8,6.2,0.613,0.609,0.8,0.8,0.909,0.5,5.2,5.7,2.3,0.9,0.3,1,2.5,15
297,Markieff Morris,PF,33,BRK,8,0,9.6,0.9,2.8,0.318,0.8,1.9,0.4,0.1,0.9,0.143,0.455,0,0,,0.3,1.8,2,1.1,0.3,0.3,0.9,1.3,2.5
298,Monte Morris,PG,27,WAS,14,14,27.6,3.4,8.1,0.416,0.9,2.8,0.333,2.4,5.3,0.459,0.473,1.1,1.5,0.714,0.5,3.4,3.9,5.1,0.7,0.3,0.9,1.1,8.7
299,Trey Murphy III,SF,22,NOP,14,5,28.4,3.9,8.4,0.466,2.2,5.5,0.403,1.7,2.9,0.585,0.597,1.5,1.6,0.955,1.2,3.1,4.3,1.4,0.9,0.4,0.7,1.8,11.6
300,Dejounte Murray,SG,26,ATL,14,14,36.6,8.6,19.1,0.453,1.9,5.8,0.321,6.8,13.3,0.511,0.502,2.4,2.7,0.868,0.9,5.6,6.4,7.8,2.1,0.4,2.3,1.8,21.5
301,Jamal Murray,PG,25,DEN,12,12,28.7,6.5,14.8,0.438,1.6,4.6,0.345,4.9,10.3,0.48,0.492,1.6,2.2,0.731,0.7,2.8,3.5,4.3,1,0,2.1,0.8,16.2
302,Keegan Murray,SF,22,SAC,12,10,30.3,4.6,10.2,0.451,2.3,6,0.375,2.3,4.2,0.56,0.561,0.6,0.8,0.778,0.7,3,3.7,1.1,1,0.8,1.6,2.3,12
303,Mike Muscala,C,31,OKC,11,1,13.8,2.5,5.6,0.435,1.2,3.6,0.325,1.3,2,0.636,0.54,1,1.3,0.786,0.6,3.5,4.2,0.7,0,0.5,0.5,1.7,7.1
